"","geom","FID_Mile_Makers","Rd_Name","His_Route","MIle_Num","POINT_X","POINT_Y","POINT_Z","FID_District","Name"
"1","POINT (1370415.9895728684 583203.4875362836)","Historic_Mile_Markers.1","Main St","Baltimore and Frederick-town Turnpike",10,1370416,583203.5,132.00914,NA,NA
"2","POINT (1365493.9863551997 583890.3494277499)","Historic_Mile_Markers.2","Frederick Rd","Baltimore and Frederick-town Turnpike",11,1365494,583890.375,269.3840332,NA,NA
"3","POINT (1360576.3359210624 584924.4521497603)","Historic_Mile_Markers.3","Frederick Rd","Baltimore and Frederick-town Turnpike",12,1360576.375,584924.4375,432.8494568,NA,NA
"4","POINT (1355389.319100679 585790.3378852087)","Historic_Mile_Markers.4","Frederick Rd","Baltimore and Frederick-town Turnpike",13,1355389.375,585790.3125,381.5248413,NA,NA
"5","POINT (1350420.2371457159 587459.4716849681)","Historic_Mile_Markers.5","Baltimore National Pike","Baltimore and Frederick-town Turnpike",14,1350420.25,587459.5,437.6871948,NA,NA
"6","POINT (1345379.7208923537 589031.9548904684)","Historic_Mile_Markers.6","Frederick Rd","Baltimore and Frederick-town Turnpike",15,1345379.75,589031.9375,465.3550415,NA,NA
"7","POINT (1340354.805338825 590503.2839225697)","Historic_Mile_Markers.7","Frederick Rd","Baltimore and Frederick-town Turnpike",16,1340354.75,590503.3125,496.7394409,NA,NA
"8","POINT (1335512.192168735 592608.9302658978)","Historic_Mile_Markers.8","Frederick Rd","Baltimore and Frederick-town Turnpike",17,1335512.25,592608.9375,558.8165283,NA,NA
"9","POINT (1349606.1780061885 597207.6067134736)","Historic_Mile_Markers.9","Old Frederick Rd","Saint James and Ellicott's City Turnpike",58,1349606.125,597207.625,516.0146484,NA,NA
"10","POINT (1330500.855981086 594308.9780055039)","Historic_Mile_Markers.10","Frederick Rd","Baltimore and Frederick-town Turnpike",18,1330500.875,594309,490.6904297,NA,NA
"11","POINT (1320494.4145183184 597752.1739292225)","Historic_Mile_Markers.11","Frederick Rd","Baltimore and Frederick-town Turnpike",20,1320494.375,597752.1875,533.4202881,NA,NA
"12","POINT (1310541.6217069791 601033.9335727991)","Historic_Mile_Markers.12","Frederick Rd","Baltimore and Frederick-town Turnpike",22,1310541.625,601033.9375,592.916687,NA,NA
"13","POINT (1305669.3058094806 603011.4184908833)","Historic_Mile_Markers.13","Frederick Rd","Baltimore and Frederick-town Turnpike",23,1305669.25,603011.4375,615.5119629,NA,NA
"14","POINT (1290874.0635315718 608606.2505144093)","Historic_Mile_Markers.14","Frederick Rd","Baltimore and Frederick-town Turnpike",26,1290874.125,608606.25,588.6146851,NA,NA
"15","POINT (1285930.3781289929 610482.1222073849)","Historic_Mile_Markers.15","Frederick Rd","Baltimore and Frederick-town Turnpike",27,1285930.375,610482.125,765.1838379,NA,NA
"16","POINT (1280908.0418042042 612029.2243592627)","Historic_Mile_Markers.16","Frederick Rd","Baltimore and Frederick-town Turnpike",28,1280908,612029.25,652.8145752,NA,NA
"17","POINT (1329726.9968786074 562387.1755953955)","Historic_Mile_Markers.17","Clarksville Pike","Clarksville Turnpike",9,1329727,562387.1875,482.7702942,NA,NA
"18","POINT (1300899.2818436278 605302.4242472999)","Historic_Mile_Markers.18","Frederick Rd","Baltimore and Frederick-town Turnpike",24,1300899.25,605302.4375,545.5375366,NA,NA
"19","POINT (1266756.5785492668 618370.548711397)","Historic_Mile_Markers.19","E Ridgeville Blvd","Baltimore and Frederick-town Turnpike",31,1266756.625,618370.5625,819.7998047,NA,NA
"20","POINT (1361381.3876037826 576746.6748019593)","Historic_Mile_Markers.20","Columbia Rd","Columbia Turnpike",2,1361381.375,576746.6875,366.2033997,NA,NA
"21","POINT (1352683.3777878932 572329.5255034564)","Historic_Mile_Markers.21","Clarksville Pike","Columbia Turnpike",4,1352683.375,572329.5,406.9935913,NA,NA
"22","POINT (1347499.5110745665 571475.673755668)","Historic_Mile_Markers.22","Clarksville Pike","Columbia Turnpike",5,1347499.5,571475.6875,442.8219605,NA,NA
"23","POINT (1342197.3577566184 570837.8542425543)","Historic_Mile_Markers.23","Clarksville Pike","Columbia Turnpike",6,1342197.375,570837.875,461.0044251,NA,NA
