"","Name","geom","FID_Historic_Site","Document","HoCo.ID","Address","Tax.Map","Block","Parcel","Lot","Building.Name","Common.Name","Location","Survey.Year","Comments","FID_District"
"1","Pleasant Valley","POINT (1313476.65 609728.115)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5502","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-003.pdf"" TARGET=""NEW"">Click Here </a>",3,"13893 Forsythe Rd",9,7,92,0,"Pleasant Valley","Lost by Neglect","Sykesville","1976","",NA
"2","Cherry Grove","POINT (1285586.4 592340.7749999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5503","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-001.pdf"" TARGET=""NEW"">Click Here </a>",1,"2937 Jennings Chapel Rd",13,22,46,0,"Cherry Grove","","Woodbine","2005","Under restoration (2000)",NA
"3","Oakdale","POINT (1288921.44 591093.51)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5504","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-002.pdf"" TARGET=""NEW"">Click Here </a>",2,"16457 Edwin Warfield Rd",13,23,277,0,"Oakdale","","Glenwood","1976","",NA
"4","Red HouseTavern","POINT (1307418.9 605921.2949999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5505","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-004.pdf"" TARGET=""NEW"">Click Here </a>",4,"14631 Red Lion Dr",8,17,93,0,"Red House Tavern","","Cooksville","1976","",NA
"5","Robert's Inn","POINT (1306629.0899999999 602534.445)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5506","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-005.pdf"" TARGET=""NEW"">Click Here </a>",5,"14610 Md 144",8,22,148,0,"Roberts Inn","","Cooksville","2000","",NA
"6","Ellerslie","POINT (1306159.8299999998 592746.1799999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5507","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-006.pdf"" TARGET=""NEW"">Click Here </a>",6,"2761 Roxbury Mills Rd",14,17,225,44,"Ellerslie","","Cooksville","1976","Glenwood Springs Section 1, Area 1, Lot 44",NA
"7","Longwood","POINT (1302623.5499999998 588786.6)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5508","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-008.pdf"" TARGET=""NEW"">Click Here </a>",8,"3188 Roxbury Mills Rd",14,21,74,0,"Longwood","","Glenwood","2004","2005 Decorator Show House",NA
"8","Peacefields","POINT (1303582.89 585186.135)","Historic_Sites_View.fid--710a7ce6_150a05f0815_5509","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-009.pdf"" TARGET=""NEW"">Click Here </a>",9,"15505 Cattail Oaks",21,10,63,14,"Round About Hills","Peacefields","Glenwood","2007","",NA
"9","Villa deSperanza","POINT (1299474.99 583363.5)","Historic_Sites_View.fid--710a7ce6_150a05f0815_550a","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-010.pdf"" TARGET=""NEW"">Click Here </a>",10,"3729 Sofia Ct",21,8,225,0,"Villa de Speranza","New Year's Gift","Glenwood","1977","",NA
"10","Stephen Boone Dorsey Hous","POINT (1300247.91 581882.3999999999)","Historic_Sites_View.fid--710a7ce6_150a05f0815_550b","<a href=""http://data.howardcountymd.gov/scannedpdf/Historic_Sites/HO-011.pdf"" TARGET=""NEW"">Click Here </a>",11,"15451 Roxbury Rd",21,14,23,0,"Duvall's Range","Stephen Boone Dorsey House","Glenwood","1977","",NA
